themes,original_theme
force posture,act_forceposture
harm threaten,act_harmthreaten
make statement,act_makestatement
yield,act_yield
affect,affect
agriculture,agriculture
economic,aid_economic
humanitarian,aid_humanitarian
alliance,alliance
appointment,appointment
armed conflict,armedconflict
arrest,arrest
assassination,assassination
austerity,austerity
incident,aviation_incident
ban,ban
market,black_market
blockade,blockade
border,border
bullying,bullying
cease fire,ceasefire
leadership,charasmatic_leadership
checkpoint,checkpoint
credit,claim_credit
closure,closure
confiscation,confiscation
constitutional,constitutional
corruption,corruption
cartels,crime_cartels
common robbery,crime_common_robbery
illegal drugs,crime_illegal_drugs
looting,crime_looting
children education,crisislex_c01_children_and_education
needs provide food,crisislex_c02_needsprovide_food
wellbeing health,crisislex_c03_wellbeing_health
logistics transport,crisislex_c04_logistics_transport
need shelters,crisislex_c05_need_of_shelters
water sanitation,crisislex_c06_water_sanitation
safety,crisislex_c07_safety
tele com,crisislex_c08_telecom
crisis lex rec,crisislex_crisislexrec
weather,crisislex_o01_weather
response agencies at crisis,crisislex_o02_responseagenciesatcrisis
caution advice,crisislex_t01_caution_advice
injured,crisislex_t02_injured
dead,crisislex_t03_dead
infrastructure,crisislex_t04_infrastructure
money,crisislex_t05_money
supplies,crisislex_t06_supplies
services needed offered,crisislex_t07_servicesneededoffered
missing found trapped people,crisislex_t08_missingfoundtrappedpeople
displaced relocated evacuated,crisislex_t09_displacedrelocatedevacuated
updates sympathy,crisislex_t11_updatessympathy
arson,crm_arson
bomb threat,crm_bombthreat
curfew,curfew
attack,cyber_attack
penalty,death_penalty
defection,defection
delay,delay
democracy,democracy
disability,disability
fire,disaster_fire
discrimination,discrimination
immigration,discrimination_immigration
immigration anti immigrant,discrimination_immigration_antiimmigrant
immigration anti immigration,discrimination_immigration_antiimmigration
immigration xenophobia,discrimination_immigration_xenophobia
immigration xenophobic,discrimination_immigration_xenophobic
lgb t,discrimination_lgbt
lgb t antigay,discrimination_lgbt_antigay
lgb t homophobia,discrimination_lgbt_homophobia
lgb t homophobic,discrimination_lgbt_homophobic
race,discrimination_race
race racism,discrimination_race_racism
race racist,discrimination_race_racist
religion,discrimination_religion
